ID,Type,Title,State,Priority,Area,Iteration,StoryPoints,ParentID,Description,AcceptanceCriteria
"465","Feature","Account Management - Informational Parent Hierarchy in D365","Refinement","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","454","As a System I want an informational parent grouping in D365 So that I can understand enterprise relationships without impacting Fusion.","AC-1: Given multiple service accounts belong to one organization, When viewed in D365, Then hierarchy is in place on Accounts for the user to be able to add a relation between two accounts. AC-2: Given the requirement is implemented, When the user adds a parent Account Then no parent hierarchy data is sent back to Fusion. Technical Notes: The parent account field on the account record will be used to set a parent account for service and billing accounts. There is no integration or migration for this field. This is newly introduced in D365 to group all related accounts and will be manually created in D365. This does not exist today in Fusion, so the two tasks associated with this story are: A parent account record must be created - this is not a service account OR billing account just a record to connect all related accounts, the required fields will be set manually though they will not be used in any existing business logic. The parent field on the service and billing account records must be set to this manually in D365 To achieve both a & b Create a new security role called Operational Admin (note, this is also mentioned in one another work item) as a copy of one of OOB least privilege security role (basic role?) Assign the privileges - organization level, can create account, update account, read account, append and append to. As there is no integration back from D365 to Fusion AC-2 is satisfied."
"466","Feature","Account Management - Bill‑To to Ship‑To Relationship","Refinement","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","454","As a System I want bill‑to and ship‑to relationships visible in D365 So that billing reflects customer preferences.","AC-1: Given a bill‑to is linked to multiple ship‑tos in Fusion, When synced with D365 , Then an equivalent relationship will be represented in D365 where one or more ship to (service account) is linked to a Bill to (billing account). AC-2: GIVEN a Bill to is also a Ship to in fusion When synced with D365 Then an equivalent relationship will be represented in D365. Technical notes: The current data model provides this relationship: Account (Service account) has service address field which is the SHIP to address -> This record has a child function location record, which also has a service address. Both are set to same value during the Fusion to D365 sync. The functional location record may indicate the type as room, site, floor to make it easy to group the customer assets. (A service account represents a SHIP to equivalent of Fusion) When an account is both Billing and Service account, The billing account will be a separate record - this will be created by the integration process The service account will be a separate record and its field ""Billing account"" will point to the billing account record. @Baumberger, Lina (Avanade) , @Bhatt, Aditi (Avanade) - Tweaked AC-2 to represent the data separation/split when Accounts are synced from Fusion to D365. The alt key on Account must be: Account Number + Site Number (SHIP to or Bill to in Fusion) + custom field to indicate Billing Account or Service Account."
"467","Feature","Account Management - Account 360 View","Ready","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","454","As a System I want all the Associated records(Contacts, Agreements, Assets, Sites/Locations, Cases/Work Orders, Invoices etc.) tied to site‑level accounts: So that Account 360 View is available.","AC:1 Given an Account exists in D365, When viewed in D365, Then the Account form should show all the Associated records in respective grids/tabs as per the expected layout. Associated records include but not limited to (Contacts, Agreements, Assets, Functional Location, Cases, Work Orders, Invoices etc.) Technical Notes: Functional team will create a simple wireframe in excel/miro/figma/visio collaborating with tech team for the Account form. Tech team to customize the solution to include these changes Add/remove tabs/fields based on feedback from OPEX Remove unnecessary items from related record sitemap if applicable (Document this2"
"484","Feature","Knowledge Articles - Knowledge Article Versioning and Auditability","Ready","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","459","As a knowledge owner, I want version history for articles so that changes are traceable and auditable.","AC‑1 Given a knowledge article is updated, When a user views article details Then the last updated date and version information are visible. AC‑2 Given an article has been revised multiple times, When an administrator reviews the article, Then prior versions can be identified for audit or reference purposes. Technical Notes: D365 KB article record form will show Modified data (this is the last updated date) and major and minor versions. This along with the ""published"" status supports versioning and auditing. This is native functionality. On the summary tab of the LB article the grid ""related versions"" will show all previous versions. Outcome of this story - Document (copy from learn) with screenshot so that OPEX user can get this info in the document."
"485","Feature","Asset Management - Customer Asset 360 View","Ready","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","454","As a System I want all the Associated records (Sub Assets, Accounts, Functional Locations, Linked Knowledge Articles, Work Orders, Agreement booking incident) tied to Customer Asset Record So that Customer Asset 360 View is available when viewed in D365.","AC:1 Given a Customer Asset exists in D365, When viewed in D365, Then the Customer Asset form should show all the Associated records in respective grids/tabs as per the expected layout. Technical Notes: Functional team will create a simple wireframe in excel/miro/figma/visio collaborating with tech team for the Account form. Tech team to customize the solution to include these changes Add/remove tabs/fields based on feedback from OPEX Remove unnecessary items from related record sitemap if applicable during review"
"542","Feature","Contact Management- Support Contacts Linked to Multiple Sites","Refinement","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","454","As a System I want one contact linked to multiple sites(functional Location D365) So that we can avoid creating duplicate contact records as it is now being done in Fusion.","AC-2: Given a Fusion contact supports multiple sites in Fusion, When the contact is synced to D365, Then the contact exists once and can be related to multiple accounts and locations. Technical Notes: Based on the finalized data model, associating one contact record to multiple functional location is possible by splitting the service account and billing accounts (SHIP to and BILL to) Confirm with Avinash (OPEX) if contacts in Fusion has a unique ID, if yes the alt key would be that unique value. We can disable the OOB dup detection rule for Contact. Since this data is synced from Fusion and becomes read-only in D365, the following must be a task for OPEX team such that When data is synced over from Fusion: the BILL to site is created as Billing account in D365 and Service account is linked to Billing account. the BILLING and SERVICE accounts will have a field to clearly show if they are BILLING/SERVICE accounts. This field along with Account Number becomes the primary key In D365, Duplicate detection rule is modified to for 2b. even though this is read-only in D365."
"547","Feature","Account Management - Region Assignment at service Account Level","Ready","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","454","As a Customer Manager I want region data at the Service Account level So that service views and assignments are accurate.","AC:1 Given a Service Account has a region assigned, When viewed in D365, Then the region is available for filtering and views. AC:2 ---> NO WORK NEEDED Given a Service Account is located within a Region When site is added in D365, Then the region is assigned to the Service Account. Technical Notes: Add service territory, account type, billing account field in the Active Account view Add service territory, account type, billing account field in the Account Lookup and associated view"
"559","Feature","Contact Management- Contact 360 View","Refinement","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","454","As a System, I want all the Associated records (Accounts, Cases/Work Orders, etc,) tied to a Contact, so that Contact 360 View is available.","AC:1 Given a Contact exists in D365, When viewed in D365, Then the Contact form should show fields and the Associated records in respective grids/tabs as per the expected layout. Technical Notes: Functional team will create simple wireframe in excel/miro/figma/visio collaborating with tech team for the Contact form. Add/remove tabs/fields based on feedback from OPEX Remove unnecessary items from related record sitemap if applicable"
"598","Feature","Knowledge Articles - Structured Knowledge Authoring and Approval Workflow","Ready","1","IS - D365 Avanade","IS - D365 Avanade","","459","As a knowledge contributor, I want New articles or an update to the existing Article within D365 reviewed before publishing so that content quality is consistent.","AC‑1 Given a new KB article is created in D365, When it is submitted for publication, Then it is reviewed by an appropriate subject matter expert before becoming visible within the search. AC‑2 Given an KB article is published, When technicians view the article, Then they can provide feedback or comments on usefulness. Note : OOTB KB BPF will not be used. Need to remove it. Technical Notes: Document knowledge article publishing process (OOB). Document how article can be assigned to another CRM user for review before publishing For the second one, document D365 feedback and comments feature so this goes for review to the Knowledge Manager before publishing. Remove OOB BPF as mentioned in the acceptance criteria."
"641","Feature","Knowledge Articles - Documentation Watermarking Strategy - SPIKE","Ready","1","IS - D365 Avanade","IS - D365 Avanade","","459","Support a strategy to apply dynamic identity‑based watermarking when service documentation is downloaded. TBD - Attributes related to Identity based Watermarking(e.g Name, IP address etc.)","AC1 – Controlled Download GIVEN a user attempts to download service documentation from within the D365 KB article preview WHEN the document is downloaded THEN the downloaded articles should have the watermark on them. AC2 – Validation Required GIVEN watermarking is enabled WHEN downloaded document is accessed THEN the document should have a identity-based watermark. Technical Notes: This needs a spike in sprint 1/2 to come up with an approach and decide the scope. Based on viable approach and confirmation with OPEX, we must proceed. The watermark is the logged in CRM user's name and date time."
"719","Feature","Activity Management - Manual Creation of Emails and Phone calls","Ready","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","454","As a D365 user, I want the system to collect only certain data points for Phone call records within D365 So that forms are quick to fill in and user friendly. TBD - Phone call Form Layout and Visible list of fields. TBD - Email Form Layout and Visible list of fields.","GIVEN A customer calls requesting a service WHEN a D365 user enters the information in D365 THEN only relevant fields are available for data entry. GIVEN A call record exists in D365 WHEN a D365 user Looks at the record THEN only relevant fields are available on the form. GIVEN a D365 user sends an email from within D365 WHEN a D365 user Looks at the email record THEN only relevant fields are available on the form. Technical Notes: Functional team will create a sample wireframe in excel/miro/figma/visio collaborating with tech team for the Phone and Email form. Add/remove tabs/fields based on feedback from OPEX Remove unnecessary items from related record sitemap if applicable"
"721","Feature","Site Management - Functional Location 360 View","Ready","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","454","As a System I want all the Associated records (Contacts, Assets, Cases/Work Orders, Invoices etc,) tied to site‑level on an account So that Site (Functional Location) 360 View is available.","AC:1 Given a Functional Location exists in D365, When viewed in D365, Then the Functional Location form should show fields and all the Associated records in respective grids/tabs as per the expected layout. Technical Notes: Functional team will create a simple wireframe in excel/miro/figma/visio collaborating with tech team for the Functional Location form. Tech team will include the customization is solution Add/remove tabs/fields based on feedback from OPEX Remove unnecessary items from related record sitemap if applicable"
"868","Feature","Data Migration - Data Mapping & Import Static/Lookup data tables into D365","Refinement","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","460","Get static/lookup data from to D365. So far, we know of: National Discount Large Customer Payment Term Equipment Discount Customer Category I reviewed this today (5/7) provided by OPEX to Ajay. This is not ready for import. This needs a call with OPEX to map them to Out of box tables like Work Order Type, Work Order Sub Statuses, Incident Type, Service Task Types, Get more details for Problem Code, Task Types Problem Code Service Request Status Service Request Type Source: Field Service Reference Data - Avinash added some of the file here FILES to Import - additional items provided by OPEX earlier","See links in the description to source files and the tables Import the tables into DEV environment Please start a new document as a template OPEX Deployment Guide in the DEPLOYMENT folder in OPEX SharePoint as this will be repeated for TEST/UAT/PROD environments. Document getting the data into the environment as a pre-requisite This data is also a pre-requisite for migration of core data so mention this to Omkar."
"893","Feature","Data Migration - Data Mapping for - Account and related tables","Refinement","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","460","Data Mapping for migration of data from Fusion to D365","See attached mapping file links and design links (Ajay to provide) Avanade to provide the target file(s) OPEX team to enter source columns against the target columns OPEX and Avanade team will review the mapping and finalize, OPEX team will update queries to transform, validate source data to fit into target"
"894","Feature","Data Migration - Data Mapping for - Contact and related tables","New","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","460","Data mapping for Fusion to D365","See attached mapping file links and design links (Ajay to provide) Avanade to provide the target file(s) OPEX team to enter source columns against the target columns OPEX and Avanade team will review the mapping and finalize, OPEX team will update queries to transform, validate source data to fit into target"
"895","Feature","Data Migration - Data Mapping for - Price list, Price List Items","New","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","460","Data Mapping for migration of data from Fusion to D365","See attached mapping file links and design links (Ajay to provide) Avanade to provide the target file(s) OPEX team to enter source columns against the target columns OPEX and Avanade team will review the mapping and finalize, OPEX team will update queries to transform, validate source data to fit into target"
"896","Feature","Data Migration - Data Mapping for - Item, Item category and related tables","Refinement","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","460","Data Mapping for migration of data from Fusion to D365","See attached mapping file links and design links (Ajay to provide) Avanade to provide the target file(s) OPEX team to enter source columns against the target columns OPEX and Avanade team will review the mapping and finalize, OPEX team will update queries to transform, validate source data to fit into target"
"897","Feature","Data Migration - Data Mapping for - Territory (Region) data and related tables","New","1","IS - D365 Avanade","IS - D365 Avanade\Discovery","","460","Technical notes: Data Mapping for migration of data from Fusion to D365 Territory and Zip codes have native mapping with D365 (same table names) While mapping consider territory hierarchy Zip code values may just be excel import without needing automation. Ignore employee associated with Territory in this work item, that must be considered for ""employee"" related work item","See attached mapping file links and design links (Ajay to provide) Avanade to provide the target file(s) OPEX team to enter source columns against the target columns OPEX and Avanade team will review the mapping and finalize, OPEX team will update queries to transform, validate source data to fit into target"
"898","Feature","Technical Enabler - Create Basic Solution Strategy","New","2","IS - D365 Avanade","IS - D365 Avanade\Discovery","","460","Technical Story Create document/Slide for high level solutioning approach - create stubs for different solution in DEV (like core/customization, flows, apps using standard practices) Create TEST environment Create Power Platform Deployment pipeline * @Soam, Rahul (Avanade) - (pls decide if we go this route or Azure DevOps) Setup Git for CRM solution/components","Test Environment is created Solution deployment strategy is documented and reviewed with OPEX"
